experiment,num_db_sequences,accuracy_percent_cv,accuracy_percent_max,accuracy_percent_mean,accuracy_percent_min,accuracy_percent_std,accuracy_percent_var,blast_prediction_time_sec_cv,blast_prediction_time_sec_max,blast_prediction_time_sec_mean,blast_prediction_time_sec_min,blast_prediction_time_sec_std,blast_prediction_time_sec_var,db_creation_time_sec_cv,db_creation_time_sec_max,db_creation_time_sec_mean,db_creation_time_sec_min,db_creation_time_sec_std,db_creation_time_sec_var,macro_f1_score_cv,macro_f1_score_max,macro_f1_score_mean,macro_f1_score_min,macro_f1_score_std,macro_f1_score_var,macro_precision_cv,macro_precision_max,macro_precision_mean,macro_precision_min,macro_precision_std,macro_precision_var,macro_recall_cv,macro_recall_max,macro_recall_mean,macro_recall_min,macro_recall_std,macro_recall_var,weighted_f1_score_cv,weighted_f1_score_max,weighted_f1_score_mean,weighted_f1_score_min,weighted_f1_score_std,weighted_f1_score_var,weighted_precision_cv,weighted_precision_max,weighted_precision_mean,weighted_precision_min,weighted_precision_std,weighted_precision_var,weighted_recall_cv,weighted_recall_max,weighted_recall_mean,weighted_recall_min,weighted_recall_std,weighted_recall_var
train_11,11,12.564647887311581,91.66,82.726,66.5,10.39423061125738,108.04002999999994,5.127111335536704,82.2731,77.27916,73.8766,3.9621885723675465,15.698938282999977,10.182679839206811,0.4429,0.37629999999999997,0.3468,0.03831742423493523,0.0014682250000000016,12.544796400346279,0.8861,0.80066,0.6457,0.10044116685901251,0.010088427999999995,2.6873647694769334,0.9334,0.91264,0.8712,0.024525965832154283,0.0006015229999999994,12.507774995760212,0.909,0.8240400000000001,0.6621,0.10306906907506247,0.010623233,12.618818856572531,0.8893,0.8048400000000001,0.6493,0.10156130168523836,0.010314697999999999,2.770736536752544,0.9385,0.91478,0.8728,0.02534614369090492,0.0006424269999999993,12.564647887311578,0.9166,0.8272600000000001,0.665,0.10394230611257377,0.01080400299999999
train_55,55,0.5695955170594693,97.19,96.724,95.8,0.5509355679206012,0.3035299999999953,10.751805887029665,239.0292,219.54428,192.1327,23.60497482167689,557.194836332,15.538678702802269,0.5866,0.4609,0.4075,0.07161777014121566,0.005129105000000001,0.5983300023179978,0.9713,0.9665800000000001,0.9568,0.005783338136405304,3.344699999999998e-05,0.4704883147440112,0.9749,0.9702400000000001,0.9628,0.004564865824972295,2.083799999999999e-05,0.5740038622517881,0.9718,0.9671199999999999,0.9578,0.0055513061526094925,3.081700000000001e-05,0.5873467214814618,0.9714,0.9667999999999999,0.9572,0.005678468103282772,3.224499999999984e-05,0.4533698165202887,0.9747,0.9704599999999999,0.9632,0.004399772721402793,1.935800000000014e-05,0.5695955170594749,0.9719,0.96724,0.958,0.005509355679206065,3.0353000000000124e-05
train_110,110,0.5894754275195,98.7,98.01599999999999,97.46,0.5777802350375131,0.3338300000000039,3.1481692749515684,473.0464,453.02200000000005,434.3348,14.261899412771095,203.40177486000053,29.069629178666297,0.7163,0.4988,0.3437,0.1449993103431875,0.021024800000000003,0.6066972906759043,0.987,0.98002,0.9744,0.0059457547880819965,3.535199999999998e-05,0.5331666110838664,0.9878,0.98174,0.9767,0.00523430988765475,2.739800000000029e-05,0.584744778813869,0.9869,0.9801400000000001,0.9748,0.005731317475066257,3.284799999999985e-05,0.6082664000326262,0.987,0.9800599999999999,0.9743,0.005961375680159756,3.55380000000002e-05,0.5262964737667931,0.9878,0.98186,0.9769,0.005167494557326634,2.670300000000039e-05,0.5894754275194919,0.987,0.98016,0.9746,0.005777802350375052,3.3382999999999474e-05
train5_11000,550,0.13786053035190002,99.8,99.59,99.49,0.13729530217745725,0.0188499999999993,31.036574699046533,3887.4013,3171.3214,1481.0337,984.2695352578482,968786.5180367006,16.499028412536767,0.7678,0.63856,0.509,0.10535619583109478,0.011099927999999992,0.13786053035190798,0.998,0.9959,0.9949,0.0013729530217746516,1.885000000000147e-06,0.13786053035190798,0.998,0.9959,0.9949,0.0013729530217746516,1.885000000000147e-06,0.13646113959832015,0.998,0.9959199999999999,0.9949,0.0013590437814875898,1.8470000000000875e-06,0.13786053035190798,0.998,0.9959,0.9949,0.0013729530217746516,1.885000000000147e-06,0.13274825399444254,0.998,0.99596,0.995,0.0013221195104830498,1.747999999999939e-06,0.13786053035190798,0.998,0.9959,0.9949,0.0013729530217746516,1.885000000000147e-06
train10_11000,1100,0.07110223821418855,99.73,99.648,99.56,0.0708519583356746,0.005020000000000169,24.37982500063053,6582.9958,5528.4354,3919.434,1347.8228757929085,1816626.5045106658,10.841814812888,0.8938,0.8053000000000001,0.6796,0.08730913468818707,0.007622884999999992,0.07110223821418644,0.9973,0.99648,0.9956,0.0007085195833567251,5.019999999999873e-07,0.06806151513421867,0.9973,0.9964999999999999,0.9957,0.000678232998312489,4.5999999999994864e-07,0.06746572598230123,0.9973,0.99652,0.9957,0.0006723094525588283,4.5199999999995127e-07,0.07110223821418644,0.9973,0.99648,0.9956,0.0007085195833567251,5.019999999999873e-07,0.06603120346945009,0.9973,0.9965399999999999,0.9957,0.0006580273550544578,4.329999999999654e-07,0.07110223821418644,0.9973,0.99648,0.9956,0.0007085195833567251,5.019999999999873e-07
train20_11000,2200,0.08638403727855906,99.91,99.784,99.68,0.08619744775803738,0.007429999999999583,11.966509071610867,6938.8865,6117.693499999999,5383.0609,732.0743476508483,535932.8504884151,14.285885370050345,1.1378,0.99922,0.8159,0.14274742379461705,0.020376827,0.0857990290942744,0.9991,0.99786,0.9968,0.0008561541917201266,7.329999999999433e-07,0.08896152096997959,0.9991,0.9978400000000001,0.9967,0.0008876936408468443,7.879999999999261e-07,0.08485574670307772,0.9991,0.99788,0.9968,0.000846758525200672,7.170000000000171e-07,0.08638403727855835,0.9991,0.9978400000000001,0.9968,0.0008619744775803668,7.429999999999463e-07,0.08485574670307772,0.9991,0.99788,0.9968,0.000846758525200672,7.170000000000171e-07,0.08638403727855835,0.9991,0.9978400000000001,0.9968,0.0008619744775803668,7.429999999999463e-07
train30_11000,3300,0.08710850725304803,99.87,99.75,99.67,0.08689073598491541,0.0075500000000002735,3.770747052305191,5872.8541,5656.11118,5413.5839,213.27764559495435,45487.354110526954,12.451299713563193,1.464,1.26674,1.0572,0.1577255939915904,0.024877363000000013,0.08808550602112938,0.9987,0.99748,0.9967,0.0008786353054595614,7.720000000000167e-07,0.08843069085338556,0.9987,0.9974399999999999,0.9967,0.0008820430828480088,7.780000000000194e-07,0.08710850725304706,0.9987,0.9974999999999999,0.9967,0.0008689073598491443,7.550000000000103e-07,0.08710850725304706,0.9987,0.9974999999999999,0.9967,0.0008689073598491443,7.550000000000103e-07,0.08710850725304706,0.9987,0.9974999999999999,0.9967,0.0008689073598491443,7.550000000000103e-07,0.08710850725304706,0.9987,0.9974999999999999,0.9967,0.0008689073598491443,7.550000000000103e-07
train40_11000,4400,0.07313556759273504,99.88,99.824,99.7,0.07300684899377183,0.005329999999999402,2.3958408303833645,6229.1156,6098.222,5931.2227,146.10369260342102,21346.288992354945,8.696315754008253,1.7264,1.55826,1.3662,0.135511209868409,0.01836328799999999,0.0731355675927415,0.9988,0.99824,0.997,0.0007300684899377827,5.330000000000343e-07,0.0731355675927415,0.9988,0.99824,0.997,0.0007300684899377827,5.330000000000343e-07,0.07415605362659856,0.9988,0.9982599999999999,0.997,0.0007402702209328828,5.48000000000019e-07,0.0731355675927415,0.9988,0.99824,0.997,0.0007300684899377827,5.330000000000343e-07,0.0731355675927415,0.9988,0.99824,0.997,0.0007300684899377827,5.330000000000343e-07,0.0731355675927415,0.9988,0.99824,0.997,0.0007300684899377827,5.330000000000343e-07
train50_11000,5500,0.04513495883182127,99.89,99.824,99.77,0.04505552130427726,0.002030000000000182,3.0168715772802073,6587.7955,6388.44854,6162.5739,192.7312882324324,37145.34946373294,16.25606014037551,1.9671,1.6909800000000001,1.23,0.2748867257617218,0.07556271200000005,0.04513495883181697,0.9989,0.99824,0.9977,0.0004505552130427297,2.0299999999997957e-07,0.04825226735105266,0.9989,0.9982200000000001,0.9976,0.0004816637831516779,2.3199999999998662e-07,0.047514940301037804,0.999,0.9983000000000001,0.9977,0.0004743416490252605,2.250000000000034e-07,0.04513495883181697,0.9989,0.99824,0.9977,0.0004505552130427297,2.0299999999997957e-07,0.04513495883181697,0.9989,0.99824,0.9977,0.0004505552130427297,2.0299999999997957e-07,0.04513495883181697,0.9989,0.99824,0.9977,0.0004505552130427297,2.0299999999997957e-07
train60_11000,6600,0.044003931721002136,99.89,99.836,99.78,0.04393176527297969,0.0019300000000001842,2.3260236544839628,6238.926,6132.2818800000005,5883.7428,142.63832708843387,20345.69235458705,4.909505563482461,2.1251,2.00808,1.8548,0.0985867993191786,0.009719356999999994,0.04676716827568651,0.9989,0.9983599999999999,0.9977,0.00046690470119714383,2.1799999999999414e-07,0.048764570256582346,0.9989,0.99832,0.9976,0.0004868264577855129,2.3699999999998977e-07,0.04331366475778738,0.9989,0.99838,0.9978,0.0004324349662087977,1.8700000000000402e-07,0.04400393172100114,0.9989,0.9983599999999999,0.9978,0.00043931765272978694,1.9300000000000966e-07,0.04400393172100114,0.9989,0.9983599999999999,0.9978,0.00043931765272978694,1.9300000000000966e-07,0.04400393172100114,0.9989,0.9983599999999999,0.9978,0.00043931765272978694,1.9300000000000966e-07
