train_file,test_file,version,num_train_seqs,num_test_seqs,train_extract_time_s,test_extract_time_s,total_train_time_s,run_type,model_id_or_k,prediction_time_s,accuracy,precision_macro,recall_macro,f1_macro
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,0,4.8125,0.1793,0.3413,0.1793,0.1336
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,1,4.7183,0.1367,0.3942,0.1367,0.1
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,2,4.7311,0.125,0.3859,0.125,0.0897
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,3,4.7255,0.1738,0.3662,0.1738,0.1259
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,4,4.7366,0.136,0.3634,0.136,0.0951
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,5,4.7341,0.13,0.4071,0.13,0.1081
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,6,4.6959,0.1136,0.3876,0.1136,0.0682
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,7,4.7328,0.1382,0.43,0.1382,0.1081
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,8,4.7524,0.1562,0.4134,0.1562,0.1082
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,9,4.7131,0.1421,0.3921,0.1421,0.0896
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,10,4.7139,0.1569,0.3925,0.1569,0.1229
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,11,4.7037,0.1218,0.396,0.1218,0.073
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,12,4.7399,0.1128,0.3274,0.1128,0.0693
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,13,4.7346,0.1477,0.3826,0.1477,0.1228
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,14,4.7354,0.1612,0.3772,0.1612,0.1394
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,15,4.7299,0.1346,0.3985,0.1346,0.0993
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,16,4.7398,0.1946,0.3491,0.1946,0.1254
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,17,4.7364,0.1214,0.4364,0.1214,0.0858
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,18,4.7213,0.1586,0.3636,0.1586,0.0982
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,19,4.7296,0.1233,0.4391,0.1233,0.0789
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,20,4.7339,0.1128,0.4375,0.1128,0.0646
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,21,4.736,0.158,0.3311,0.158,0.1097
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,22,4.7094,0.1634,0.4199,0.1634,0.1519
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,23,4.7314,0.1171,0.4147,0.1171,0.0685
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,individual,24,4.7063,0.2005,0.3746,0.2005,0.1597
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,1,4.8125,0.1793,0.3413,0.1793,0.1336
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,2,4.9119,0.1795,0.3782,0.1795,0.1336
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,3,5.0241,0.1653,0.3482,0.1653,0.111
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,4,5.1306,0.1999,0.2999,0.1999,0.1524
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,5,5.2483,0.1346,0.331,0.1346,0.1145
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,6,5.3635,0.1354,0.3205,0.1354,0.1088
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,7,5.4404,0.1471,0.3125,0.1471,0.1232
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,8,5.5543,0.1484,0.3613,0.1484,0.1361
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,9,5.6877,0.1532,0.377,0.1532,0.1432
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,10,5.7818,0.1614,0.3721,0.1614,0.1393
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,11,5.8768,0.1546,0.3851,0.1546,0.1472
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,12,5.9616,0.1609,0.3246,0.1609,0.1545
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,13,6.0826,0.1567,0.3236,0.1567,0.1497
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,14,6.1982,0.1625,0.3267,0.1625,0.1596
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,15,6.3147,0.1625,0.3594,0.1625,0.1547
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,16,6.4257,0.1642,0.3591,0.1642,0.154
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,17,6.5466,0.1998,0.3607,0.1998,0.176
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,18,6.664,0.1899,0.332,0.1899,0.1711
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,19,6.7664,0.1987,0.332,0.1987,0.1724
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,20,6.877,0.2027,0.3241,0.2027,0.18
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,21,6.992,0.1819,0.3738,0.1819,0.1618
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,22,7.1091,0.1845,0.3704,0.1845,0.1673
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,23,7.1996,0.198,0.3883,0.198,0.1867
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,24,7.3121,0.1922,0.3802,0.1922,0.1769
train_11_5.fasta,test_10989_5.fasta,5,11,10989,0.0098,4.6189,10.9556,ensemble,25,7.3994,0.1882,0.3866,0.1882,0.1777
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,0,4.1517,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,1,4.0888,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,2,4.0838,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,3,4.0846,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,4,4.0834,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,5,4.0731,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,6,4.0826,0.9998,0.9998,0.9998,0.9998
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,7,4.0822,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,8,4.0836,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,9,4.0669,0.9998,0.9998,0.9998,0.9998
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,10,4.0693,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,11,4.0768,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,12,4.0782,0.9996,0.9996,0.9996,0.9996
