experiment,num_train_seqs,num_test_seqs,run_type,model_id_or_k,train_extract_time_s_mean,train_extract_time_s_std,train_extract_time_s_var,train_extract_time_s_min,train_extract_time_s_max,test_extract_time_s_mean,test_extract_time_s_std,test_extract_time_s_var,test_extract_time_s_min,test_extract_time_s_max,total_train_time_s_mean,total_train_time_s_std,total_train_time_s_var,total_train_time_s_min,total_train_time_s_max,prediction_time_s_mean,prediction_time_s_std,prediction_time_s_var,prediction_time_s_min,prediction_time_s_max,accuracy_mean,accuracy_std,accuracy_var,accuracy_min,accuracy_max,precision_macro_mean,precision_macro_std,precision_macro_var,precision_macro_min,precision_macro_max,recall_macro_mean,recall_macro_std,recall_macro_var,recall_macro_min,recall_macro_max,f1_macro_mean,f1_macro_std,f1_macro_var,f1_macro_min,f1_macro_max,train_extract_time_s_cv,test_extract_time_s_cv,total_train_time_s_cv,prediction_time_s_cv,accuracy_cv,precision_macro_cv,recall_macro_cv,f1_macro_cv
train_11,11,10989,ensemble,1,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,4.76126,0.06593415655030395,0.004347312999999989,4.6504,4.8125,0.14764,0.020986138282209042,0.0004404179999999999,0.1249,0.1793,0.35774,0.06419336414303274,0.004120788000000001,0.289,0.4486,0.14764,0.020986138282209042,0.0004404179999999999,0.1249,0.1793,0.10913999999999999,0.019118917333363825,0.0003655329999999997,0.0819,0.1336,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.013848047901249659,0.14214398728128586,0.1794413935904085,0.14214398728128586,0.17517791216202883
train_11,11,10989,ensemble,2,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,4.86614,0.06552887149951535,0.004294032999999996,4.7546,4.9119,0.14738,0.021836025279340556,0.00047681199999999985,0.1218,0.1795,0.31962,0.060463641967714775,0.0036558519999999994,0.2702,0.3928,0.14738,0.021836025279340556,0.00047681199999999985,0.1218,0.1795,0.10742,0.02292154008787368,0.0005253970000000001,0.0707,0.1336,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.013466293920749373,0.14816138742937002,0.18917352470970145,0.14816138742937002,0.21338242494762316
train_11,11,10989,ensemble,3,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,4.97146,0.05892735358048925,0.003472432999999999,4.8733,5.0241,0.1516,0.019554027718094284,0.00038235999999999956,0.1302,0.1709,0.31862,0.048033134396997246,0.0023071819999999996,0.2616,0.3811,0.1516,0.019554027718094284,0.00038235999999999956,0.1302,0.1709,0.11484000000000001,0.02112801457780641,0.0004463930000000003,0.0849,0.1363,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.011853128372850076,0.12898435170246889,0.1507536701933251,0.12898435170246889,0.18397783505578552
train_11,11,10989,ensemble,4,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,5.08024,0.058604334310697885,0.003434468000000041,4.9844,5.1306,0.15489999999999998,0.025857590761708626,0.0006686149999999994,0.1365,0.1999,0.3269,0.05996945055609564,0.003596335,0.2706,0.3991,0.15489999999999998,0.025857590761708626,0.0006686149999999994,0.1365,0.1999,0.12448,0.021425382143616487,0.00045904700000000024,0.1002,0.1524,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.011535741285982136,0.16693086353588527,0.18344891574210964,0.16693086353588527,0.17211907249049235
train_11,11,10989,ensemble,5,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,5.18254,0.06831305146163483,0.004666672999999968,5.0765,5.2483,0.14745999999999998,0.009343339873942296,8.729800000000003e-05,0.1346,0.1566,0.33382,0.05398080214298411,0.0029139269999999984,0.2751,0.4089,0.14745999999999998,0.009343339873942296,8.729800000000003e-05,0.1346,0.1566,0.12522,0.009962278855763878,9.924700000000005e-05,0.1145,0.1416,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.013181384313798799,0.06336185998875829,0.16170631520874756,0.06336185998875829,0.0795582083993282
train_11,11,10989,ensemble,6,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,5.2835,0.07477870686231461,0.005591854999999979,5.1675,5.3635,0.15658,0.01939077100065905,0.000376002,0.1354,0.182,0.34388,0.055802930030599635,0.0031139669999999987,0.2872,0.4204,0.15658,0.01939077100065905,0.000376002,0.1354,0.182,0.13136,0.02105262453947251,0.0004432130000000001,0.1088,0.1527,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.014153251984918068,0.12383938562178472,0.162274427214725,0.12383938562178472,0.1602666301725983
train_11,11,10989,ensemble,7,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,5.37842,0.06339745263021215,0.004019236999999994,5.2765,5.4404,0.16608,0.014430419259328538,0.00020823699999999998,0.1471,0.1856,0.33965999999999996,0.06175550987563781,0.0038137429999999996,0.2734,0.4209,0.16608,0.014430419259328538,0.00020823699999999998,0.1471,0.1856,0.13828000000000001,0.015175210047969677,0.0002302869999999998,0.1232,0.1556,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.011787374848043134,0.08688836259229611,0.181815668243649,0.08688836259229611,0.10974262400903728
train_11,11,10989,ensemble,8,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,5.48512,0.06815810296655848,0.004645526999999988,5.383,5.5543,0.17046,0.016055622068297443,0.0002577829999999998,0.1484,0.1865,0.33226,0.05758188083069187,0.003315673,0.2637,0.414,0.17046,0.016055622068297443,0.0002577829999999998,0.1484,0.1865,0.14494,0.01674941790033314,0.00028054300000000023,0.1266,0.1705,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.012426000336648693,0.09418996872167924,0.17330368034277938,0.09418996872167924,0.1155610452624061
train_11,11,10989,ensemble,9,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,5.59466,0.08003738501475437,0.006405983000000027,5.4821,5.6877,0.17384,0.01834347295361486,0.00033648299999999983,0.1532,0.2006,0.34992,0.06366311333888722,0.004052991999999999,0.2614,0.4202,0.17384,0.01834347295361486,0.00033648299999999983,0.1532,0.2006,0.14914,0.013405521250589247,0.00017970799999999989,0.1378,0.168,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.014306032004581934,0.10551928758407075,0.18193619495566762,0.10551928758407075,0.08988548511860835
train_11,11,10989,ensemble,10,0.01142,0.0010825894882179488,1.1720000000000002e-06,0.0098,0.0128,4.600820000000001,0.07122265791165053,0.005072666999999996,4.4849,4.6804,10.13676,0.48839064589731823,0.23852542299999968,9.7094,10.9556,5.6955,0.08025995265386085,0.0064416599999999845,5.5841,5.7818,0.1695,0.0197314469819119,0.0003893300000000001,0.1519,0.2028,0.34704,0.05482885189387063,0.0030062030000000007,0.2904,0.4293,0.1695,0.0197314469819119,0.0003893300000000001,0.1519,0.2028,0.14332,0.016034400518884384,0.00025710199999999983,0.1279,0.1693,0.09479767847792897,0.0154804269481637,0.04818015281976867,0.014091818567967844,0.11640971670744482,0.15799000660981624,0.11640971670744482,0.11187831788225219
